title,description,link,published
Cúal fue el último temblor en México hoy 14 de noviembre según SSN,Cuál es el ultimo temblor en México y CDMX registrado segun el Servicio Sismológico Nacional (SSN) hoy 14 de noviembre del 2025. Consulta los últimos sismos EN VIVO para México aquí.,https://rpp.pe/mundo/mexico/cual-fue-el-ultimo-temblor-en-mexico-hoy-12-de-noviembre-segun-ssn-live-3040,"Wed, 12 Nov 2025 06:21:35 -0500"
Vania Torres tras consagrarse campeona mundial de surf: “Siento que he entrenado casi toda mi vida para esto”,"En el programa Encendidos, la surfista peruana reconoció que asistió a la competencia con la clara intención de ganar, ya que había alcanzado un alto nivel deportivo.",https://rpp.pe/multideportes/mas-deportes/vania-torres-tras-consagrarse-campeona-mundial-de-sur-siento-ya-que-he-entrenado-casi-toda-mi-vida-para-esto-noticia-1663823,"Fri, 14 Nov 2025 13:36:22 -0500"
¿Dónde votar en las elecciones en Chile? Consulta tu local y mesa en Servel con tu RUT,Consulta en Servel (Servicio Electoral de Chile) los locales y mesa de votación para votar en las elecciones presidenciales y parlamentarias en Chile de este domingo 16 de noviembre.,https://rpp.pe/mundo/chile/chile-servel-donde-me-toca-votar-con-mi-rut-2025-en-elecciones-domingo-16-noviembre-noticia-1663645,"Fri, 14 Nov 2025 13:00:52 -0500"
"Gutiérrez sobre cárcel para manifestantes con rostro cubierto: ""Con o sin el rostro tapado, el acto vandálico es sancionado""","Josué Gutiérrez, defensor del Pueblo, consideró que el hecho de que un manifestante se cubra el rostro es un tema de forma, y que se debe considerar ""el sentido estricto de combatir todo lo que significa un acto de violencia"".",https://rpp.pe/politica/judiciales/gutierrez-sobre-carcel-para-manifestantes-con-rostro-cubierto-con-o-sin-el-rostro-tapado-el-acto-vandalico-es-sancionado-noticia-1663824,"Fri, 14 Nov 2025 13:37:53 -0500"
¡Ya está en semifinales! Ignacio Buse venció a Gonzalo Heide por el Challenger de Montevideo (VIDEO),Ignacio Buse se impuso 2-0 al brasileño Gonzalo Heide y mantiene sus opciones de llegar al 'top 100' del ranking ATP antes del cierre de temporada.,https://rpp.pe/tenis/mas-tenis/ignacio-buse-vs-heide-en-vivo-cuartos-final-challenger-montevideo-2025-a-que-hora-juegan-y-donde-ver-por-tv-via-atp-tour-link-gratis-partidos-de-hoy-noticia-1663714,"Fri, 14 Nov 2025 13:35:29 -0500"
"Denuncian cobros indebidos en atención médica del penal ex Río Seco en Piura: ""Si el interno no tiene plata, no es atendido""","En diálogo con RPP, Roxana Vilela, miembro de la Coordinadora Nacional Anticorrupción del Perú, pidió que el médico del tópico del centro penitenciario, a quien identificó como Omar Pérez, sea destituido del cargo.",https://rpp.pe/peru/piura/piura-denuncian-cobros-indebidos-y-deficiente-atencion-medica-del-penal-ex-rio-seco-noticia-1663826,"Fri, 14 Nov 2025 13:34:14 -0500"
Fans de Shakira pasan la noche afuera del Estadio Nacional a la espera del primer concierto en Lima,"Decenas de seguidores llegaron desde distintas ciudades y acamparon en la fila principal para el show del sábado 15 de noviembre, mostrando colecciones y recuerdos de la artista.",https://rpp.pe/musica/conciertos/shakira-en-lima-fans-pasan-la-noche-afuera-del-estadio-nacional-a-la-espera-del-primer-concierto-noticia-1663815,"Fri, 14 Nov 2025 13:32:21 -0500"
"Llega la CTS de noviembre 2025: ¿Cuál es su fecha límite de pago, cómo calcular y hasta cuándo retirar?","El Gobierno dispuso el retiro del 100 % de la CTS hasta diciembre de 2026, permitiendo a los trabajadores formales disponer libremente de sus fondos en una o varias operaciones. La medida tiene como fin brindar liquidez ante la coyuntura económica y rige para todos los depósitos acumulados en el sistema financiero.",https://rpp.pe/economia/economia/cts-de-noviembre-2025-como-calcular-el-monto-que-deben-depositarte-y-hasta-cuando-podras-retirar-tu-dinero-noticia-1661355,"Fri, 14 Nov 2025 12:00:40 -0500"
Lionel Messi volvió a marcar: Argentina derrotó 2-0 a Angola por amistoso internacional en Luanda (VIDEO),"Lionel Messi deleitó al público en Luanda con una asistencia y un gol. Argentina, en su último partido del año, sigue en racha de triunfos.",https://rpp.pe/futbol/futbol-mundial/argentina-vs-angola-en-vivo-a-que-hora-juegan-en-luanda-y-donde-ver-amistoso-por-fecha-fifa-con-lionel-messi-via-tyc-sports-gratis-partidos-de-hoy-noticia-1663744,"Fri, 14 Nov 2025 13:15:12 -0500"
Club de fans de Shakira dan detalles de los tres conciertos de Shakira en Lima,"Decenas de seguidores llegaron desde distintas ciudades y acamparon en la fila principal para el show del sábado 15 de noviembre, mostrando colecciones y recuerdos de la artista.",https://rpp.pe/videos/encendidos/club-de-fans-de-shakira-dan-detalles-de-los-tres-conciertos-de-shakira-en-lima-noticia-1663828,"Fri, 14 Nov 2025 12:16:54 -0500"
